Book-Title,Book-Author,Image-URL-M
The SPIRIT RING,Lois McMaster Bujold,http://images.amazon.com/images/P/0671721887.01.MZZZZZZZ.jpg
Firestarter,Stephen King,http://images.amazon.com/images/P/0451167805.01.MZZZZZZZ.jpg
The Thief of Always,Clive Barker,http://images.amazon.com/images/P/0061091464.01.MZZZZZZZ.jpg
The Inheritor,Marion Zimmer Bradley,http://images.amazon.com/images/P/0812516001.01.MZZZZZZZ.jpg
Fatal Cure,Robin Cook,http://images.amazon.com/images/P/0425145638.01.MZZZZZZZ.jpg
"Against the Odds (Fast Breaks , No 4)",Joseph Layden,http://images.amazon.com/images/P/0590120824.01.MZZZZZZZ.jpg
Scarlatti Inheritance,Ludlum Robert,http://images.amazon.com/images/P/0440176387.01.MZZZZZZZ.jpg
Empty Promises,Ann Rule,http://images.amazon.com/images/P/0671025333.01.MZZZZZZZ.jpg
Legacy,James A. Michener,http://images.amazon.com/images/P/0449216411.01.MZZZZZZZ.jpg
Winnie the Pooh,Disney,http://images.amazon.com/images/P/0831794704.01.MZZZZZZZ.jpg
Moments of Truth,Jan Carlzon,http://images.amazon.com/images/P/0060915803.01.MZZZZZZZ.jpg
Buster Has The Hiccups! (Fisher Price Side Squeakers),Muff Serrat &amp; Sans,http://images.amazon.com/images/P/1575841924.01.MZZZZZZZ.jpg
"The Summoning (Forgotten Realms:  Return of the Archwizards, Book 1)",Troy Denning,http://images.amazon.com/images/P/0786918012.01.MZZZZZZZ.jpg
Flame Is Love,Barbara Cartland,http://images.amazon.com/images/P/0553134434.01.MZZZZZZZ.jpg
Another Cat Book,Charles Ortleb,http://images.amazon.com/images/P/0312041950.01.MZZZZZZZ.jpg
The Tomb and Other Tales,Howard Phillips Lovecraft,http://images.amazon.com/images/P/0345336615.01.MZZZZZZZ.jpg
Eating Crow,Lila Hopkins,http://images.amazon.com/images/P/0531104990.01.MZZZZZZZ.jpg
The Proteus Operation,James P. Hogan,http://images.amazon.com/images/P/055325698X.01.MZZZZZZZ.jpg
